,0
Ray Price:Crazy Arms,"Now blue ain't the word for the way that I feel And the storm's brewing in this heart of mine This ain't no crazy dream I know that it's real You're someone else's love now you're not mine  Crazy arms that reach to hold somebody new While my yearning heart keeps saying you're not mine My troubled mind knows soon to another you'll be wed And that's why I'm lonely all the time  So please take the treasured dreams I have for you and me And take all the love I thought was mine Someday my crazy arms may hold somebody new But now I'm so lonely all the time  Crazy arms that reach to hold somebody new While my yearning heart keeps saying you're not mine My troubled mind knows soon to another you'll be wed And that's why I'm lonely all the time
"
Ferlin Husky:Gone,"Since you've gone the moon the sun the stars in the sky know the reason why I cry Love divine once was mine now you've gone Since you've gone my heart my lips my tear dimmed eyes a lonely soul within me cries I acted smart broke your heart now you've gone Oh what I'd give for the lifetime I've wasted The love that I've tasted I was wrong now you've gone  Oh what I'd give for the lifetime...
"
Don Gibson:Oh Lonesome Me,"Everybody's going out and having fun I'm just a fool for staying home and having none I can't get over how she set set me free, oh lonesome me  A bad mistake I'm making by just hanging round I know that I should have some fun and paint the town A lovesick fool That's blind and just can't see, oh lonesome me  I'll bet she's not like me she's out and fancy free Flirtin' with the boys with all her charms But I still love her so and brother don't you know I'd welcome her right back here in my arms  Well there must be some way I can lose these lonesome blues Forget about the past and find somebody new I've thought of everything from A to Z, oh lonesome me  Well I'll bet she's not like me, she's out and fancy free Flirtin' with the boys with all her charms But I still love her so, and brother don't you know I'd welcome her right back here in my arms  Well there must be some way I can lose these lonesome blues Forget about the past and find somebody new I've thought of everything from A to Z, oh lonesome me Oh lonesome me
"
Johnny Horton:The Battle of New Orleans,"In 1814 we took a little trip Along with Colonel Jackson down the mighty Mississip We took a little bacon and we took a little beans And we caught the bloody British in the town of New Orleans  We fired our guns and the British kept a-comin' There wasn't nigh as many as there was a while ago We fired once more and they began to runnin' On down the Mississippi to the Gulf of Mexico  We looked down the river and we seen the British come And there must have been a hunnerd of 'em beatin on the drum They stepped so high and they made their bugles ring We stood beside our cotton bales 'n' didn't say a thing  We fired our guns and the British kept a-comin' There wasn't nigh as many as there was a while ago We fired once more and they began to runnin' On down the Mississippi to the Gulf of Mexico  Old Hickory said we could take 'em by surprise If we didn't fire our muskets till we looked 'em in the eye We held our fire 'till we seed their faces well Then we opened up the squirrel guns and really gave em Well we  Fired our guns and the British kept a-comin' There wasn't nigh as many as there was a while ago We fired once more and they began to runnin' On down the Mississippi to the Gulf of Mexico  Yeah they ran through the briars and they ran through the brambles And they ran through the bushes where a rabbit couldn't go They ran so fast that the hounds couldn't catch 'em On down the Mississippi to the Gulf of Mexico  We fired our cannon till the barrel melted down So we grabbed an alligator and we fought another round We filled his head with cannonballs and powered his behind And when we touched the powder off the gator lost his mind  We fired our guns and the British kept a-comin' There wasn't nigh as many as there was a while ago We fired once more and they began to runnin' On down the Mississippi to the Gulf of Mexico  Yeah they ran through the briars and they ran through the brambles And they ran through the bushes where a rabbit couldn't go They ran so fast that the hounds couldn't catch 'em On down the Mississippi to the Gulf of Mexico  Hup, 2, 3, 4 Sound off, 3, 4 Hup, 2, 3, 4 Sound off, 3, 4 Hup, 2, 3, 4 Sound off, 3, 4
"
Hank Locklin:Please Help Me I'm Falling,"Please help me I'm falling in love with you Close the door to temptation don't let me walk through Turn away from me darling I'm begging you to Please help me I'm falling in love with you I belong to another whose arms have grown cold But I promised forever to have and to hold I can never be free dear but when I'm with you I know that I'm losing the will to be true  Please help me I'm falling and that would be sin Close the door to temptation don't let me walk in For I mustn't want you but darling I do please help me I'm falling in love with you Please help me I'm falling in love with you
"
Patsy Cline:I Fall to Pieces,"I fall to pieces Each time I see you again I fall to pieces How can I be just your friend?  You want me to act like we've never kissed You want me to forget (to forget) Pretend we've never met (never met) And I've tried and I've tried, but I haven't yet You walk by and I fall to pieces  I fall to pieces Each time someone speaks your name (speaks your name) I fall to pieces Time only adds to the flame  You tell me to find someone else to love Someone who'll love me too (love me too) The way you used to do (used to do) But each time I go out with someone new You walk by and I fall to pieces You walk by and I fall to pieces
"
Claude King:Wolverton Mountain,"They say don't go on Wolverton Mountain if you're looking for a wife Cause Clifton Clovers has a pretty young daughter He's mighty handy with a gun and a knife Her tender lips are sweeter than honey and Wolverton Mountain protects her there The bears and the birds tell Clifton Clovers if a stranger should enter there  All of my dreams are on Wolverton Mountain I want his daughter for my wife I'll take my chances and climb that mountain Though Clifton Clovers he might take my life Her tender lips are sweeter than honey...  I'm going up on Wolverton Mountain it's too lonesome down here below It's just not right to hide his daughter from the one who loves her so Her tender lips are sweeter than honey... And I don't care about Clifron Clovers I'm gonna climb up on his mountain I'm gonna take the girl I love I don't care about Clifron Clovers I'm gonna climb up on that mountain and I'll get the one I love
"
Bill Anderson:Still,"(Still) though you broke my heart (Still) though we're far apart I love you still (Still) after all this time (Still) you're still on my mind I love you still  I've lost count of the hours  And I've lost track of the days   In fact, I've lost just about everything  Since you went away   Everything, that is, except the memories you left me And that's one thing that no one can mar    I don't know who you're with  I don't even know where you've gone   My only hope is that some day you might hear this song  And you'll know that I wrote it especially for you   And I love you, wherever you are  (Still) after all this time (Still) you're still on my mind I love you still  This flame in my heart is like an eternal fire  For every day it burns hotter  And every day it burns higher   And I haven't been able to put out one little flicker  Not even with all of these tears    My friends think I'm crazy and maybe I am   But I'll carry this torch just as long as I can  For some day, you might just decide to come home  And I want you to know    I'm still here  (Still) though you broke my heart (Still) though we're far apart I love you still
"
Buck Owens:My Heart Skips a Beat,"Oh, my heart skips a beat When we walk down the street I feel a tremblin' in my knees And just to know you're mine Until the end of time Makes my heart skip a beat  Well, I did a double take the day I met you My heart turned a flip as I stood next to you And I knew right there I never could forget you For you are my every dream come true  And my heart skips a beat When we walk down the street I feel a tremblin' in my knees And just to know you're mine Until the end of time Makes my heart skip a beat  You came into my life without a warning And you turned my cloudy skies from gray to blue You're my sunshine that comes up every morning Yes, you are my every dream come true  And my heart skips a beat When we walk down the street I feel a tremblin' in my knees And just to know you're mine Until the end of time Makes my heart skip a beat...
"
Eddy Arnold:What's He Doing in My World,"What's he doin' in my world what's he doin' holdin' my world If he's not more than just a friend why were you kissin' him And what's he doin' in my world  What's he doin' in my world did you tell him that you're my girl If your love is really true tell him my world's made for two What's he doin' in my world  Oh don't let me keep on wonderin' just what you're gonna do Wondering if the one I love loves somebody new  What's he doin' in my world we don't need him here in our world So if it's true he's just a friend explain those kisses you gave him And what's he doin' in my world
"
