,0
C.W. McCall:Convoy,"Ah, breaker one-nine, this here's the Rubber Duck. You gotta copy on me, Pig Pen, c'mon? Ah, yeah, 10-4, Pig Pen, fer shure, fer shure. By golly, it's clean clear to Flag Town, c'mon. Yeah, that's a big 10-4 there, Pig Pen, yeah, we definitely got the front door, good buddy. Mercy sakes alive, looks like we got us a convoy...   Was the dark of the moon on the sixth of June In a Kenworth pullin' logs Cab-over Pete with a reefer on And a Jimmy haulin' hogs  We is headin' for bear on I-10 'Bout a mile outta Shaky Town I says, ""Pig Pen, this here's the Rubber Duck."" ""And I'm about to put the hammer down.""  'Cause we got a little convoy Rockin' through the night Yeah, we got a little convoy Ain't she a beautiful sight?  Come on and join our convoy Ain't nothin' gonna get in our way We gonna roll this truckin' convoy 'Cross the USA, convoy  Ah, breaker, Pig Pen, this here's the Duck. And, you wanna back off them hogs? Yeah, 10-4, 'bout five mile or so. Ten, roger. Them hogs is gettin' in-tense up here.   By the time we got into Tulsa Town We had eighty-five trucks in all But they's a roadblock up on the cloverleaf And them bears was wall-to-wall  Yeah, them smokies is thick as bugs on a bumper They even had a bear in the air I says, ""Callin' all trucks, this here's the Duck. We about to go a-huntin' bear.""  'Cause we got a great big convoy Rockin' through the night Yeah, we got a great big convoy Ain't she a beautiful sight?  Come on and join our convoy Ain't nothin' gonna get in our way We gonna roll this truckin' convoy 'Cross the USA, convoy  Ah, you wanna give me a 10-9 on that, Pig Pen? Negatory, Pig Pen; you're still too close. Yeah, them hogs is startin' to close up my sinuses. Mercy sakes, you better back off another ten.   Well, we rolled up Interstate 44 Like a rocket sled on rails We tore up all of our swindle sheets And left 'em settin' on the scales  By the time we hit that Chi-town Them bears was a-gettin' smart They'd brought up some reinforcements From the Illinois National Guard  There's armored cars and tanks and jeeps And rigs of ev'ry size Yeah, them chicken coops was full'a bears And choppers filled the skies  Well, we shot the line and we went for broke With a thousand screamin' trucks An' eleven long-haired Friends a' Jesus In a chartreuse micra-bus  Ah, Rubber Duck to Sodbuster, come over. Yeah, 10-4, Sodbuster? Lissen, you wanna put that micra-bus right behind that suicide jockey? Yeah, he's haulin' dynamite, and he needs all the help he can get.   Well, we laid a strip for the Jersey shore And prepared to cross the line I could see the bridge was lined with bears But I didn't have a dog-goned dime  I says, ""Pig Pen, this here's the Rubber Duck. We just ain't a-gonna pay no toll."" So we crashed the gate doing ninety-eight I says ""Let them truckers roll, 10-4.""  'Cause we got a mighty convoy Rockin' through the night Yeah, we got a mighty convoy Ain't she a beautiful sight?  Come on and join our convoy Ain't nothin' gonna get in our way We gonna roll this truckin' convoy 'Cross the USA  Convoy! Ah, 10-4, Pig Pen, what's your twenty?  Convoy! Omaha? Well, they oughta know what to do with them hogs out there fer shure. Well, mercy  Convoy! sakes, good buddy, we gonna back on outta here, so keep the bugs off your glass and the bears off your...   Convoy! tail. We'll catch you on the flip-flop. This here's the Rubber Duck on the side.  Convoy! We gone. 'Bye,'bye.
"
"Waylon Jennings:Luckenbach, Texas (Back to the Basics of Love)","The only two things in life That make it worth livin' Is guitars that tune good  And firm feelin' women I don't need my name in the marquee lights I got my song and I got you with me tonight Maybe it's time we got back to the basics of love  Let's go to Luckenbach, Texas With Waylon and Willie and the boys This successful life we're livin' Got us feudin' like the Hatfields and Mc Coys Between Hank Williams' pain songs And Newbury's train songs And 'Blue Eyes Cryin' in the Rain' Out in Luckenbach, Texas Ain't nobody feelin' no pain  So, baby, let's sell your diamond ring Buy some boots and faded jeans and go away This coat and tie is chokin' me In your high society, you cry all day We've been so busy Keepin' up with the Jones' Four-car garage and we're still buildin' on Maybe it's time we got back To the basics of love  Let's go to Luckenbach, Texas  With Waylon and Willie and the boys This successful life we're livin' Got us feuding like the Hatfields and Mc Coys Between Hank Williams' pain songs And Newbury's train songs And 'Blue Eyes Cryin' in the Rain' Out in Luckenbach, Texas  Ain't nobody feelin' no pain  Let's go to Luckenbach, Texas  With Willie and Waylon and the boys This successful life we're livin'  Got us feuding like the Hatfields and Mc Coys Between Hank Williams' pain songs And Jerry Jeff's train songs And 'Blue Eyes Cryin' in the Rain' Out in Luckenbach, Texas  There ain't nobody feelin' no pain
"
Waylon and  Willie:Mamas Don't Let Your Babies Grow Up to Be Cowboys,"Cowboys ain't easy to love and they're harder to hold They'd rather give you a song than diamonds or gold Lonestar belt buckles and old faded levis And each night begins a new day If you don't understand him, an' he don't die young He'll prob'ly just ride away  Mamas, don't let your babies grow up to be cowboys Don't let 'em pick guitars or drive them old trucks Let 'em be doctors and lawyers and such Mamas don't let your babies grow up to be cowboys 'Cause they'll never stay home and they're always alone Even with someone they love  Cowboys like smokey old pool rooms and clear mountain mornings Little warm puppies and children and girls of the night Them that don't know him won't like him and them that do Sometimes won't know how to take him He ain't wrong, he's just different but his pride won't let him Do things to make you think he's right  Mamas, don't let your babies grow up to be cowboys Don't let 'em pick guitars or drive them old trucks Let 'em be doctors and lawyers and such Mamas don't let your babies grow up to be cowboys 'Cause they'll never stay home and they're always alone Even with someone they love
"
Anne Murray:I Just Fall in Love Again,"Dreaming, I must be dreaming Or am I really lying here with you? Baby, you take me in your arms And though I'm wide awake, I know my dream is coming true  And, oh, I just fall in love again Just one touch and then it happens every time There I go, I just fall in love again and when I do I can't help myself, I fall in love with you  Magic, it must be magic The way I hold you and the night just seems to fly Easy for you to take me to a star Heaven is that moment when I look into your eyes  And, oh, I just fall in love again Just one touch and then it happens every time There I go, I just fall in love again and when I do I can't help myself, I fall in love with you I can't help myself, I fall in love with you
"
Ronnie Milsap:My Heart,"I'll take a long vacation I need a change of scenery I'll see the sights; go out at night There'll be no time for your memory  I'll get a new apartment Make friends that don't know who you are 'Cause when I'm through, I'm really through If I can just convince my heart  Oh, but my heart, says I'm not so smart My heart tears my plans apart My heart won't admit we're through 'Cause my heart; oh, my heart still belongs to you  I'll call some old phone numbers And I'll throw a party for a star I've made a vow, it's all over now If I can just convince my heart  Oh, but my heart, says I'm not so smart My hear tears my plans apart My heart won't admit we're through 'Cause my heart; oh my heart still belongs to you  Oh, but my heart, says I'm not so smart My hear tears my plans apart Oh, my heart won't admit we're through 'Cause my heart; oh my heart still belongs to you
"
Earl Thomas Conley:Fire and Smoke,"In and out of honkey tonks from one town to the next. But anything worth loving Lord's, just too hard to forget. Everyday's another day of feeling more the same. Looks like I'll run out of highway before I out run the rain.  But if there's fire and smoke, Ooh what a rush I got when your love was hot. Oh but I couldn't see. That when the flame burned out you'd leave A cold dark cloud a raining down on me.  So I'm reaching out to someone wishing, she were you instead. Everything I left behind was waiting up ahead. Pulling on the bottom baby, looking back on you. Anyways the right way babe as long as I pull through.  But if there's fire and smoke, Ooh what a rush I got when your love was hot. Oh but I couldn't see. That when the flame burned out you'd leave A cold dark cloud a raining down on me.  Yeah, and when the flame burned out you left a cold dark cloud a raining Down, a raining down on me.
"
Willie Nelson:Always on My Mind,"Maybe I didn't love you Quite as often as I could have Maybe I didn't treat you Quite as good as I should have If I made you feel second best Girl I'm sorry I was blind  You were always on my mind You were always on my mind  And maybe I didn't hold you All those lonely, lonely times And I guess I never told you I'm so happy that you're mine Little things I should have said and done I just never took the time  You were always on my mind You were always on my mind  Tell me, tell me that your Sweet love hasn't died And give me Give me one more chance To keep you satisfied Keep you satisfied  Little things I should have Said and done I just never took the time  You were always on my mind You were always on my mind You were always on my mind
"
Shelly West:Jose Cuervo,"Well its Sunday morning And the sun is shining in my Eye that is open And my head is spinning Was the life of the party I can't stop grinning I had too much tequllia last night  Jose Quervo You are a friend of mine I like to drink you with A little salt and lime Did I kiss all the cowboys Did I shoot out the lights Did I dance on the bar Did I start any fights  Now wait a minute Things don't look to familiar Who is the cowboy whos sleeping beside me Well he's awful cute But how'd I get his shirt on I had too much tequllia last night  Jose Quervo You are a friend of mine I like to drink you with A little salt and lime Did I kiss all the cowboys Did I shoot out the lights Did I dance on the bar Did I start any fights  All those little shooters How I love to drink them down Come on bartender lets have another round Well the music is playing And my spirits are high Tomorrow might be painful But tonight we're going to fly  Jose Quervo You are a friend of mine I like to drink you with A little salt and lime Everytime we get together I sure have a good time You're my friend, you're the best Mi amigo (Tequllia)  Jose Quervo You are a friend of mine I like to drink you with A little salt and lime Did I kiss all the cowboys Did I shoot out the lights Did I dance on the bar Did I start any fights  Jose Quervo You are a friend of mine
"
Julio Iglesias and Willie Nelson:To All the Girls I've Loved Before,"To all the girls I've loved before Who travelled in and out my door I'm glad they came along I dedicate this song To all the girls I've loved before  To all the girls I once caressed And may I say I've held the best For helping me to grow I owe a lot I know To all the girls I've loved before  The winds of change are always blowing And every time I try to stay The winds of change continue blowing And they just carry me away  To all the girls who shared my life Who now are someone else's wives I'm glad they came along I dedicate this song To all the girls I've loved before  To all the girls who cared for me Who filled my nights with ecstasy They live within my heart I'll always be a part Of all the girls I've loved before  The winds of change are always blowing And every time I try to stay The winds of change continue blowing And they just carry me away  To all the girls we've loved before Who travelled in and out our doors We're glad they came along We dedicate this song To all the girls we've loved before  To all the girls we've loved before Who travelled in and out our doors We're glad they came along We dedicate this song To all the girls we've loved before
"
Ronnie Milsap:Lost in the Fifties Tonight,"Close your eyes, baby, follow my heart Call on the mem'ries, here in the dark We'll let the magic take us away Back to the feeling we shared when they'd play  In the still of the night, hold me darling Hold me tight, oh, shoo-doop, shoo-be do Shoo-doop, doo; so real, so right Lost in the fifties tonight  These precious hours, we know we can't survive Love's all that matters while the past is alive Now and for always, 'til time disappears We'll hold each other whenever we hear  In the still of the night, hold me darling Hold me tight, oh, shoo-doop, shoo-be do Shoo-doop, doo; so real, so right Lost in the fifties tonight
"
Rosanne Cash:Never Be You,"Take a look at my eyes It's been a long, long time I used to feel so strong When I knew you were mine  But since you let me down I'm hard to be around I don't know what I'm gonna do He could never be you He could never be you  I guess it all comes around Baby, please don't cry Love is gonna be a little reckless Oh, lovers all have to stand trial  Since you let me go There's nothing going on I don't know what I'm gonna do He could never be you He could never be you Uh-uh, uh-uh, huh He could never be you  He knows the rules And he plays the part But he only has me He don't have my heart  He could never be you  So take a look at my eyes No, you can't hide the truth No, you don't get by on pride It'll run over you  Since you let me down I'm hard to be around I don't know what I'm gonna do He could never be you He could never be you Uh-uh, uh-uh, huh He could never be you Uh-uh, uh-uh, huh Uh-uh, uh-uh, huh He could never be you Uh-uh, uh-uh, huh Uh-uh, uh-uh, huh Uh-uh, uh-uh, huh He could never be you
"
Michael Johnson:Give Me Wings,"He asked her, ""What gifts can I bring you To prove that my love for you is true? I want to make you mine forever There's nothing on this earth I would not do""  She said, ""Anything I've wanted You have given willingly So now there's only one more thing I need""  If you love me, give me wings And don't be afraid if I fly A bird in a cage will forget how to sing If you love me, give me wings  He walked over to the window He silently stared into space Then he said, ""Well, I just want to protect you 'Cause this world is a dangerous place""  She put her arms around him She said, ""I know you mean well But there are lessons I must learn for myself""  So if you love me, give me wings And don't be afraid if I fly A bird in a cage will forget how to sing And you can trust me, so give me wings  She said, ""Up above the clouds You can see forever And I know you and I can learn to fly together""  If you love me, give me wings Don't be afraid if I fly A bird in a cage will forget how to sing And you can trust me, so give me wings  If you really love me Give me wings
"
Keith Whitley:Don't Close Your Eyes,"I know you loved him A long time ago Even now in my arms You still want him I know But darling this time Let your memories die When you hold me tonight Don't close your eyes  Don't close your eyes Let it be me Don't pretend it's him In some fantasy Darling just once Let yesterday go You'll find more love Than you've ever known Just hold me tight When you love me tonight And don't close your eyes  Maybe I've been a fool Holding on all this time Lyin' here in your arms Knowing he's in your mind But I keep hoping some day That you'll see the light Let it be me tonight Don't close your eyes  Don't close your eyes Let it be me Don't pretend it's him In some fantasy Darling just once Let yesterday go You'll find more love Than you've ever known Just hold me tight When you love me tonight And don't close your eyes  Don't close your eyes Let it be me Don't pretend it's him In some fantasy Darling just once Let yesterday go You'll find more love Than you've ever known Just hold me tight When you love me tonight And don't close your eyes  Just hold me tight When you love me tonight And don't close your eyes
"
Clint Black:A Better Man,"What do you say when it's over? I don't know if I should say anything at all One day we're rollin' in the clover Next thing you know we take the fall  Still, I think about the years since I first met you And the way it might have been without you here And I don't know if words from me can still upset you But I've just gotta make this memory stand clear  I know I'm leavin' here a better man For knowin' you this way Things I couldn't do before, now I think I can And I'm leavin' here a better man  I guess I always knew I couldn't hold you But I'd never be the one to set you free Just like some old nursery rhyme your mama told you You still believe in some old meant-to-be  Still, I'm leavin' here a better man...
"
Clint Black:Nobody's Home,"Move slowly to my dresser drawers, put my blue jeans on Find my cowboy boots, my button down, strap my timepiece on my arm Grab my billfold, my pocket change, just a mindless old routine Then it's out the door and down the street, but it's not really me  I still comb my hair the same, still like the same cologne And I still drive that pickup truck that the same old bank still owns But since you left, everybody says, I'm not the guy they've known The lights are on, but nobody's home  Cup of coffee in the mornin', it's just food for the brain  But I've been numb since our last goodbyes, I haven't felt a thing But now there's pains in my head and pains in my chest, and I think I'm losing my hair I'm a half a man with half a mind, to think you didn't care   I still comb my hair the same, still like the same cologne And I still drive that pickup truck that the same old bank still owns But since you left, everybody says, I'm not the guy they've known The lights are on, but nobody's home  Since you left, everybody says, I'm not the guy they've known The lights are on, but nobody's home The lights are on, but nobody's home
"
Wynonna:I Saw the Light,"I laid a red rose On your front porch And wrote 'I love you' on a note I rang the doorbell And turned to go Baby when the curtains moved I couldn't believe the view  I saw the light in your window tonight And I saw two shadows holding each other tight I know the truth When I look in your eyes I saw the light in your window tonight  So take your cheating hands off my red dress 'Cause I ain't wearing this thing for you I see you clearly now And your lies too They say that love is blind Baby not this time  I saw the light in your window tonight And I saw two shadows holding each other tight I know the truth when I look in your eyes I saw the light in your window tonight  Why baby why Should I listen to you I cry baby cry Now I'm walking out the door  They say that love is blind Well baby not this time  I saw the light in your window tonight And I saw two shadows holding each other tight I know the truth when I look in your eyes I saw the light in your window tonight  I know the truth when I look in your eyes I saw the light in your window tonight
"
Alan Jackson:Chattahoochee,"Well, way down yonder on the Chattahoochee It gets hotter than a hoochie coochie We laid rubber on the Georgia asphalt We got a little crazy but we never got caught  Down by the river on a Friday night Pyramid of cans in the pale moonlight Talkin' 'bout cars and dreamin' 'bout women Never had a plan, just a-livin' for the minute  Yeah, way down yonder on the Chattahoochee Never knew how much that muddy water meant to me But I learned how to swim and I learned who I was A lot about livin' and a little 'bout love  Ya ha  Well, we fogged up the windows in my old Chevy I was willin' but she wasn't ready So I settled for a burger and a grape sno-cone I dropped her off early but I didn't go home  Down by the river on a Friday night A pyramid of cans in the pale moonlight Talkin' 'bout cars and dreamin' 'bout women Never had a plan, just a livin' for the minute  Yeah, way down yonder on the Chattahochee Never knew how much that muddy water meant to me But I learned how to swim and I learned who I was A lot about livin' and a little 'bout love  Yeah, way down yonder on the Chattahochee Never knew how much that muddy water meant to me But I learned how to swim and I learned who I was A lot about livin' and a little 'bout love  A lot about livin' and a little 'bout love  Ya he  That's right
"
John Michael Montgomery:I Swear,"I see the questions in your eyes I know what's weighing on your mind But you can be sure I know my part 'Cause I'll stand beside you through the years You'll only cry those happy tears And though I'll make mistakes I'll never break your heart  I swear By the moon and stars in the sky I'll be there I swear Like the shadow that's by your side I'll be there For better or worse Till death do us part I'll love you with every beat of my heart I swear  I'll give you everything I can I'll build your dreams with these two hands We'll hang some memories on the wall And when there's silver in your hair You won't have to ask if I still care 'Cause as time turns the page My love won't age at all  I swear By the moon and stars in the sky I'll be there I swear Like the shadow that's by your side I'll be there For better or worse Till death do us part I'll love you with every beat of my heart I swear  I swear By the moon and stars in the sky I'll be there I swear Like the shadow that's by your side I'll be there For better or worse Till death do us part I'll love you with every beat of my heart I swear I swear
"
John Michael Montgomery:Sold (The Grundy County Auction Incident),"Well I went down to the Grundy County Auction, Where I saw something I just had to have. My mind told me I should proceed with caution, But my heart said go ahead and make a bid on that.  And I said, ""Hey pretty lady! Won't you gimme a sign? I'd give anything to make you mine, all mine, I'll do your biddin' and be at your beck and call."" Yeah I've never seen anyone lookin' so fine, Man I gotta have her, she's a one of a kind. I'm goin' once, goin' twice, I'm sold to the lady in the second row, She's an eight, she's a nine, she's a ten I know. She's got ruby red lips, blond hair, blue eyes And I'm about to bid my heart good-bye!  Well, the auctioneer was goin' 'bout a mile a minute. He was taking bids and callin' them out loud. And I guess I was really gettin' in it, 'Cause I just shouted out above the crowd!  And I said, ""Hey pretty lady! Won't you gimme a sign? I'd give anything to make you mine, all mine, I'll do your biddin' and be at your beck and call."" Yeah I've never seen anyone lookin' so fine, Man I gotta have her, she's a one of a kind. I'm goin' once, goin' twice, I'm sold to the lady in the long black dress, Well she won my heart, it was no contest. With her ruby red lips, blond hair, blue eyes Well I'm about to bid my heart good-bye!  Yeah, we found love on the auction block and I hauled her heart away. Now we still love to laugh about, the way we met that day!  When I said ""Hey pretty lady! Won't you gimme a sign? I'd give anything to make you mine, all mine, I'll do your biddin' and be at your beck and call."" Yeah I've never seen anyone lookin' so fine, Man I gotta have her, she's a one of a kind. I'm goin' once, goin' twice, I'm sold to the lady in the second row, She's an eight, she's a nine, she's a ten I know. She's got ruby red lips, blond hair, blue eyes And I'm about to bid my heart good-bye!
"
Brooks and Dunn:My Maria,"My Maria, Don't you know I've come a long, long way I been longin' to see her When she's around she takes my blues away Sweet Maria,  The sunlight surely hurts my eyes I'm a lonely dreamer on a highway in the skies  Maria (oh Maria I love you girl. Oh my Maria) Maria (oh Maria I love you girl. Maria I love you) I love you  My Maria,  There were some blue and sorrow times Just my thoughts about you bring back my piece of mind Gypsy lady, You're a miracle work for me You set my soul free like a ship sailing on the sea  She is the sunlight when the skies are grey She treats me so right lady take me away  My Maria (oh Maria I love you girl. Oh my Maria) Maria (oh Maria I love you girl. Maria I love you) I love you  My Maria (oh Maria I love you girl. Oh my Maria) Maria (oh Maria I love you girl. Maria I love you) I love you  My Maria (oh Maria I love you girl. Oh my Maria) Maria (oh Maria I love you girl. Maria I love you) I love you  My Maria (oh Maria I love you girl. Oh my Maria) Maria (oh Maria I love you girl. Maria I love you) I love you  My Maria (oh Maria I love you girl. Oh my Maria) Maria (oh Maria I love you girl. Maria I love you) I love you
"
Tim McGraw and Faith Hill:It's Your Love,"Dancin' in the dark Middle of the night Takin' your heart And holdin' it tight  Emotional touch Touchin' my skin And askin' you to do What you've been doin' all over again  Oh, it's a beautiful thing Don't think I can keep it all in I just gotta let you know What it is that won't let me go  It's your love It just does somethin' to me It sends a shock right through me I can't get enough And if you wonder About the spell I'm under It's your love  Better than I was More than I am And all of this happened By takin' your hand  And who I am now Is who I wanted to be And now that we're together I'm stronger than ever I'm happy and free  Oh, it's a beautiful thing Don't think I can keep it all in, no And if you asked me why I changed All I gotta do is say your sweet name  It's your love It just does somethin' to me It sends a shock right through me I can't get enough And if you wonder About the spell I'm under It's your love Oh, baby  Oh, it's a beautiful thing Don't think I can keep it all in I just gotta let you know What it is that won't let me go  It's your love It just does somethin' to me It sends a shock right through me I can't get enough And if you wonder About the spell I'm under It's your love It's your love It's your love
"
Tim McGraw:Just to See You Smile,"You always had an eye for things that glittered But I was far from being made of gold I don't know how but I scraped up the money I just never could quite tell you no  Just like when you were leaving Amarillo Takin' that new job in Tennessee And I quit mine so we could be together I can't forget the way you looked at me  Just to see you smile I'd do anything that you wanted me to When all is said and done I'd never count the cost It's worth all that's lost Just to see you smile  When you said time was all you really needed I walked away and let you have your space 'Cause leavin' didn't hurt me near as badly As the tears I saw rollin' down your face  And yesterday I knew just what you wanted When you came walkin' up to me with him So I told you that I was happy for you And given the chance I'd lie again  Just to see you smile I'd do anything that you wanted me to When all is said and done I'd never count the cost It's worth all that's lost Just to see you smile  Just to see you smile I'd do anything that you wanted me to When all is said and done I'd never count the cost It's worth all that's lost Just to see you smile
"
Lonestar:Amazed,"Every time our eyes meet This feelin' inside me Is almost more than I can take Baby, when you touch me I can feel how much you love me And it just blows me away  I've never been this close to anyone or anything I can hear your thoughts I can see your dreams  I don't know how you do what you do I'm so in love with you It just keeps getting better I wanna spend the rest of my life With you by my side For ever and ever  Every little thing that you do Baby, I'm amazed by you  The smell of your skin The taste of your kiss The way you whisper in the dark Your hair all around me Baby you surround me You touch every place in my heart  Oh, it feels like the first time everytime I wanna spend the whole night in your eyes  I don't know how you do what you do I'm so in love with you It just keeps getting better I wanna spend the rest of my life With you by my side For ever and ever  Every little thing that you do Baby I'm amazed by you  Every little thing that you do I'm so in love with you It just keeps getting better I wanna spend the rest of my life With you by my side Forever and ever  Every little thing that you do Oh, every little thing that you do Baby I'm amazed by you
"
Toby Keith:How Do You Like Me Now,"I was always the crazy one Who broke into the stadium And I wrote your number On the fifty yard line You were always the perfect one And a valedictorian So under your number I wrote Call for a good time I only wanted to get your attention But you over looked me somehow Besides you had too many boyfriends to mention And I played my guitar too loud  How do you like me now? How do you like me now? Now that I'm on my way Do you still think I'm crazy standing here today? I couldn't make you love me But I always dreamed about living in your radio How do you like me now?!  When I took off to Tennessee I heard that you made fun of me You never imagined I'd make it this far Then you married into the money girl Ain't it a cruel and funny world He took your dreams and he tore them apart He never comes home and you're always alone And your kids hear you cry down the hall Alarm clock starts ringin' who could that be singin' It's me baby with your wake up call  How do you like me now? How do you like me now? Now that I'm on my way Do you still think I'm crazy standing here today? I couldn't make you love me But I always dreamed about living in your radio How do you like me now?!  How do you like me now? How do you like me now? Now that I'm on my way Do you still think I'm crazy standing here today? I couldn't make you love me But I always dreamed about living in your radio How do you like me now?!  Tell me baby! I will preach on! Haha
"
Brooks and Dunn:Ain't Nothing 'Bout You,"Once I thought that love was something I could never do Never knew that I could feel this much But this yearning in the deep part of my heart for you Is more than a reaction to your touch It's a perfect passion and I can't get enough  The way you look, the way you laugh, The way you love with all you have, There ain't nothing 'bout you that don't do something for me The way you kiss, The way you cry, The way you move when you walk by There's ain't nothing 'bout you (there ain't nothing 'bout you) That don't do something for me  In my life I've been hammered by some heavy blows That never knocked me off my feet All you gotta do is smile at me and down I go And baby it's no mystery why I surrender Girl you got everything  The way you look, the way you laugh, The way you love with all you have, There ain't nothing 'bout you that don't do something for me The way you kiss, The way you cry, The way you move when you walk by There's ain't nothing 'bout you (there ain't nothing 'bout you) That don't do something for me  I love your attitude, your rose tattoo, your every thought Your smile, you lips and girl the list goes on and on and on  The way you look, the way you laugh, The way you love with all you have, There ain't nothing 'bout you that don't do something for me The way you kiss, The way you cry, The way you move when you walk by There's ain't nothing 'bout you (there ain't nothing 'bout you) That don't do something for me  The way you look, the way you laugh, The way you love with all you have, Your dance, your drive, You make me feel alive  The way you talk, the way you tease Right now I think you see There ain't nothing 'bout you that don't do something for me
"
Kenny Chesney:The Good Stuff,"Well, me and my lady had our first big fight So I drove around 'til I saw the neon lights The corner bar It just seemed right, so I pulled up Not a soul around but the old bar keep Down at the end, an' lookin' half asleep But he walked up and said ""What'll it be?"" I said, ""The good stuff"" He didn't reach around for the whiskey He didn't pour me a beer His blue eyes kinda went misty He said, ""You can't find that here  'Cause its the first long kiss on a second date Mama's all worried when you get home late And droppin' the ring in the spaghetti plate 'Cause your hands are shakin' so much And it's the way that she looks with rice in her hair An' eatin' burnt suppers the whole first year And askin' for seconds to keep her from tearin' up Yeah man, that's the good stuff""  He grabbed a carton of milk  And he poured a glass Then I smiled and said ""I'll have some of that"" We sat there and talked as an hour passed Like old friends Saw a black and white picture and it caught my stare It was a pretty girl with bouffant hair He said, ""That's my Bonnie, taken 'bout a year after we wed"" He said, ""Spent five years in the bottle, when the cancer took her from me But I've been sober three years now 'Cause the one thing stronger than the whiskey  Was the sight of her holdin' my  baby girl The way she adored that string of pearls I gave her the day that our youngest boy, Earl Married his high school love And it's a new t-shirt sayin' 'I'm a grandpa' Bein' right there as her time got small And holdin' her hand when the good Lord called her up Yeah man, that's the good stuff""  He said, ""When you get home she'll start to cry When she says, 'I'm sorry,' say 'So am I' Look into those eyes so deep in love And drink it up 'Cause thats the good stuff That's the good stuff""
"
Lonestar:My Front Porch Looking In,"Yeah... oh yeah The only ground I ever owned Was sticking to my shoes Now I look out my front porch At this panoramic view I can sit and watch the fields fill up With rays of golden sun Or watch the moon lay on the fences Like that's where it was hung My blessing's right in front of me It's not about the land I'll never beat the view From my front porch lookin' in  There's a carrot-top that can barely walk With a sippy cup of milk A little blue-eyed blonde With shoes on wrong 'cause she likes to dress herself And the most beautiful girl Holding both of them Yeah the view I love the most Is my front porch looking in  I've traveled here and everywhere Followin' my job I've seen the paintings from the air Brushed by the hand of God The mountains and the canyons reach From sea to shining sea But I can't wait to get back home To the one He made for me 'Cause anywhere I'll ever go And anywhere I've been Nothing takes my breath away Like my front porch looking in  I see what beautiful is about When I'm looking in, not when I'm looking out  Oh the view I love the most Is my front porch looking in Yeah, yeah Oh, that's a carrot-top that can barely walk (From my front porch looking in) A little blue-eyed blonde with her shoes on wrong (From my front porch looking in) And the most beautiful girl is holding both of them Oh yeah
"
Tim McGraw:Live Like You Were Dying,"He said, ""I was in my early 40s With a lot of life before me When a moment came that stopped me on a dime I spent most of the next days Looking at the X-rays And talking 'bout the options, and talking 'bout Sweet time I asked him when it sank in That this might really be the real end How's it hit ya when you get that kind of news Man, what'd ya do"" And he said  ""I went skydiving I went Rocky Mountain climbing I went 2.7 seconds on a bull named Fumanchu And I loved deeper And I spoke sweeter And I gave forgiveness I've been denying"" And he said, ""Someday, I hope you get the chance To live like you were dyin'""  He said, ""I was finally the husband That most the time I wasn't And I became a friend a friend would like to have And all of a sudden goin' fishin' Wasn't such an imposition And I went three times that year I lost my dad Well, I, I finally read the Good Book And I took a good long hard look At what I'd do if I could do it all again And then  I went skydiving I went Rocky Mountain climbing I went two point seven seconds on a bull named Fumanchu, And I loved deeper And I spoke sweeter And I gave forgiveness I've been denying"" And he said, ""Someday, I hope you get the chance To live like you were dyin'""  Like, tomorrow was a gift And you got eternity to think about what'd you do With it What did you do with it? What did I do with it? What would I do with it?  Skydiving I went Rocky Mountain climbing I went two point seven seconds on a bull named Fumanchu And I loved deeper And I spoke sweeter And I watched an eagle as it was flying And he said, ""Someday, I hope you get the chance To live like you were dyin'"" Live like you were dyin' Live like you were dyin' Live like you were dyin' Live like you were dyin'
"
Craig Morgan:That's What I Love About Sunday,"Raymond's in his Sunday best, He's usually up to his chest in oil an' grease. There's the Martin's walkin' in, With that mean little freckle-faced kid, Who broke a window last week. Sweet Miss Betty likes to sing off key in the pew behind me.   That's what I love about Sunday: Sing along as the choir sways; Every verse of Amazin' Grace, An' then we shake the Preacher's hand. Go home, into your blue jeans; Have some chicken an' some baked beans. Pick a back yard football team, Not do much of anything: That's what I love about Sunday.   I stroll to the end of the drive, Pick up the Sunday Times, grab my coffee cup. It looks like Sally an' Ron, finally tied the knot, Well, it's about time. It's 35 cents off a ground round, Baby, cut that coupon out!   That's what I love about Sunday: Cat-napping on the porch swing; You curled up next to me, The smell of jasmine wakes us up. Take a walk down a back road, Tackle box and a cane pole; Carve our names in that white oak, An' steal a kiss as the sun fades, That's what I love about Sunday, Oh, yeah.   Ooh, new believers gettin' baptized, Momma's hands raised up high, Havin' a Hallelujah good time A smile on everybody's face. That's what I love about Sunday, Oh, yeah.   That's what I love about Sunday, Oh, yeah.
"
