,0
"Earth, Wind and Fire:Serpentine Fire","When I see your face like the morning sun You spark me to shine Tell all the world, my need is fulfilled And that's a new design, ow  As long as you're near, there is no fear Of what we could be, alright But when I'm away, influences stray My mind to disagree  I wanna see your face in the morning sun Ignite my energy, ow, huh The cause and effect of you has brought new meaning In my life to me  Gonna tell my story, morning glory All about the serpentine fire Gonna tell my story, morning glory All about the serpentine fire  Oh yeah, oh yeah, oh yeah Oh yeah, oh yeah, oh yeah  I need to see your face like the morning sun Ignite my energy, huh The cause and effect of you has brought new meaning In my life to me  The moments I find when I'm inclined To do my best, uhn The negative wins when I give in And then I lose the test (not many times)  Gonna tell my story, morning glory All about the serpentine fire Surely as life begun, you will as one Battle with the serpentine fire  Oh yeah, oh yeah, oh yeah Oh yeah, oh yeah, oh yeah  Surely as life begun, you will as one Battle with the serpentine fire Surely as life begun, you will as one Battle with the serpentine fire  Gonna tell my story, morning glory All about the serpentine fire Gonna tell my story, morning glory All about the serpentine fire"
Chic:Good Times,"Good times These are the good times Leave your cares behind These are the good times  Good times These are the good times Our new state of mind These are the good times  Happy days are here again The time is right for making friends Let's get together, how 'bout a quarter to ten? Come tomorrow, let's all do it again  Boys will be boys, better let them have their toys Girls will be girls, cute ponytails and curls Must put an end to this stress and strife I think I want to live the sporty life  Good times These are the good times Leave your cares behind These are the good times  Good times These are the good times Our new state of mind These are the good times  A rumor has it that it's getting late Time marches on, just can't wait The clock keeps turning, why hesitate? You silly fool, you can't change your fate  Let's cut the rug, a little jive and jitterbug We want the best, we won't settle for less Don't be a drag, participate Clams on the half shell and roller-skates, roller-skates  Good times These are the good times Leave your cares behind These are the good times  Good times These are the good times Our new state of mind These are the good times  Good times  Good times These are the good times Our new state of mind These are the good times"
Jermaine Jackson:Let's Get Serious,"Close my eyes and I see your face at night Toss and turn, fall to sleep holding my pillow tight All the time I think of you You're with me no matter what I do  Walk around with a smile upon my face In my mind you have taken up permanent space I am feeling what I can't explain And if what you're feeling is the same  Let's get serious Let's get serious Let's get serious And fall in love  Let's get serious Let's get serious Let's get serious And fall in love  S E R I O U S, baby Let's get serious Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah  In your arms is the place I want to be With my love in you and your love inside of me Longing for each other just ain't fair When we've got so much love we want to share  Let's get serious Let's get serious Let's get serious And fall in love  Let's get serious Let's get serious Let's get serious And fall in love  Let's get serious Let's get serious Let's get serious And fall in love  Let's get serious Let's get serious Let's get serious And fall in love  Serious Serious Serious And fall in love  Serious Serious Serious And fall in love  Serious Serious Serious And fall in love"
Diana Ross and Lionel Richie:Endless Love,"My love There's only you in my life The only thing that's bright  My first love You're every breath that I take You're every step I make  And I, I want to share All my love with you No one else will do  And your eyes (your eyes, your eyes) They tell me how much you care Ooh yes, you will always be My endless love  Two hearts Two hearts that beat as one Our lives have just begun  Forever (ooh) I'll hold you close in my arms I can't resist your charms  And love (oh, love) I'll be a fool for you, I'm sure You know I don't mind Oh, you know I don't mind  Because you You mean the world to me, oh I know, I know I've found in you My endless love  Boom, boom Boom, boom, boom, boom, booom Boom, boom, boom, boom, boom  Ooh, and love, oh, love I'll be that fool for you, I'm sure You know I don't mind Oh you know I don't mind  And, yes You'll be the only one 'Cause no one can deny This love I have inside  And I'll give it all to you My love My love, my love My endless love"
Stevie Wonder:That Girl,"That girl thinks that she's so fine That soon she'll have my mind That girl thinks that she's so smart That soon she'll have my heart  She thinks in no time flat That she'll be free and clear to start With her emotional rescue of love that you'll leave torn apart  That girl thinks that she's so bad She'll change my tears from joy to sad She says she keeps the upper hand 'Cause she can please her man  She doesn't use her love to make him weak She uses love to keep him strong And inside me there's no room for doubt That it won't be too long  Before I tell her that I love her That I want her That my mind, soul and body needs her Tell her that I'd love to, that I want to That I need to do all that I have to To be in her love  I've been hurting for a long time And you've been playing for a long time You know it's true I've been holding for a long time And you've been running for a long time It's time to do what we have to do That girl, That girl  That girl knows every single man Would ask her for her hand But she says her love is much too deep For them to understand She says her love has been crying out But her lover hasn't heard But what she doesn't realize is that I've listened to every word  That's why I know I'll tell that I love her That I want her That my mind, soul and body needs her Tell her that I'd love to, that I want to That I need to do all that I have to To be in her love  Tell her I love her That I want her That my mind and soul and body needs her Tell her that I'd love to, that I want to That I need to do all that I have to To be in her love  That I love her That I want her That my mind and soul and body needs her Tell her that I'd love to, that I want to That I need to do all that I have to...  Tell her that I love her That I want her That my mind and soul and body needs her Tell her that I'd love to, that I want to That I need to do all that I have to To be in her...  That girl, that girl, that girl, Oh, That girl, that girl, that girl, that girl..."
Marvin Gaye:Sexual Healing,"(Get up, get up, get up, get up) (Wake up, wake up, wake up, wake up) Ooh, baby let's get down tonight, whoo  Baby I'm hot just like an oven I need some lovin' And baby, I can't hold it much longer It's getting stronger and stronger  And when I get that feeling I want sexual healing Sexual healing, oh baby Makes me feel so fine Helps to relieve my mind Sexual healing, baby, is good for me Sexual healing is something that's good for me  Whenever blue teardrops are falling And my emotional stability is leaving me There is something I can do I can get on the telephone and call you up baby  And honey, I know you'll be there to relieve me The love you give to me will free me If you don't know the thing you're dealing Oh I can tell you, darling, that it's sexual healing  (Get up, get up, get up, get up) Let's make love tonight (Wake up, wake up, wake up, wake up) 'Cause you do it right  Baby I got sick this morning A sea was storming inside of me Baby, I think I'm capsizing The waves are rising and rising  And when I get that feeling I want sexual healing Sexual healing is good for me Makes me feel so fine, it's such a rush Helps to relieve the mind and it's good for us Sexual healing, baby, is good for me Sexual healing is something that's good for me  And it's good for me and it's so good to me My baby, ohhh Come take control, just grab ahold Of my body and mind, soon we'll be making it Honey, oh we're feeling fine You're my medicine open up and let me in Darling, you're so great, I can't wait for you to operate  (Heal me, my darling) (Heal me, my darling) I can't wait for you to operate When I get this feeling, I need sexual healing Oh when I get this feeling, I need sexual healing I got to have sexual healing, darling, 'cause I'm all alone Sexual healing, darling, till you come back home Please don't procrastinate It's not good to masturbate"
Prince:When Doves Cry,"Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah  Dig if you will the picture Of you and I engaged in a kiss The sweat of your body covers me Can you, my darling, can you picture this?  Dream if you can a courtyard An ocean of violets in bloom Animals strike curious poses They feel the heat, the heat between me and you  How can you just leave me standing Alone in a world that's so cold? (So cold) Maybe I'm just too demanding Maybe I'm just like my father, too bold  Maybe you're just like my mother She's never satisfied (She's never satisfied) Why do we scream at each other? This is what it sounds like when doves cry  Touch if you will my stomach Feel how it trembles inside You've got the butterflies all tied up Don't make me chase you, even doves have pride  How could you just leave me standing Alone in a world so cold? (World so cold) Maybe I'm just too demanding Maybe I'm just like my father, too bold  Maybe you're just like my mother She's never satisfied (She's never satisfied) Why do we scream at each other? This is what it sounds like when doves cry  How can you just leave me standing Alone in a world that's so cold? (World is so cold) Maybe I'm just too demanding (Maybe, maybe) Maybe I'm just like my father, too bold (I'm like my father, you know, you know he's too bold)  Maybe you're just like my mother (Maybe you're just like my mother) She's never satisfied (Never, never satisfied) Why do we scream at each other? (Why do we scream, why?) This is what it sounds like when doves cry When doves cry, when doves cry, when doves cry When doves cry, when doves cry, when doves cry"
Freddie Jackson:Rock Me Tonight (For Old Times Sake),"Oh, come on and rock me, ooh, girl Oh, come on and rock me, ooh, girl  Hey, girl, long time no see Do you have a little time to spend with me? I wanna know what's been going on In your life, huh, talk to me, baby  Your hair, perfume you wear Brings back memories, oh, of you and me You look so fine, you blow my mind All over again, ooh  So much has happened in my life Since we partied, what about you? Now I've got myself together And I know just what I want And right now I know that it's you, you  Rock me tonight for old times sake Would you, baby, hey? Roll with me tonight for old times sake Ooh  Ooh, girl, I'm gonna love you real good Come on, let me do it now, you know I could I really miss the way you squeeze and moan And call out my name, woo, you can call me, baby  I remember you like to take your time To get in the mood, ooh, yes, you do, yeah But once you're in the mood You like to go, shake to the groove, oh yes, you do, girl  It's been so long since we've had a night together I have missed you when I get through lovin' you, girl Fire and desire Will burn in you forever more, more  Rock me tonight for old times sake Would you, baby, hey? Roll with me tonight for old times sake Woo, woo, would you, would you, would you?  Rock with me tonight for old times sake Sweet, baby, yeah Roll with me tonight for old times sake Oh girl, come on and rock  So much has happened in my life Since we parted, what about you? Oh, now I've got myself together And I know just what I want And right now, girl, it's you, you  Rock with me tonight for a old times sake, sake Won't you, baby, hey? Roll, roll with me tonight for a old times sake Feels so good, feels so right  Would you rock with me tonight for a old times sake? Sweet baby, yeah Would you come and roll with me tonight for a old times sake? Oh, girl  Come on and rock me Come on and roll with me, baby Come on and rock me Roll with me  I wanna feel you next to me I want you to do the things That we used to do together Come on, let's make it right  I wanna feel you rock with a lot of lovin' The way I used to do, girl Do you remember?  I wanna rock and roll with you, baby Come on, hey I'm gonna rock and roll and hold and squeeze ya Sweet thing, yeah"
Patti Labelle and Michael McDonald:On My Own,"(Burt Bacharach & C B Sayer)  So many times Said it was forever Said our love would always be true Something in my heart always knew I'd be lying here beside you  On my own On my own On my own  So many promises Never should be spoken Now I know what loving you cost Now we're up to talking divorce And we weren't even married  On my own Once again One more time By myself  No one said it was easy But it once was so easy Well I believed in love Now here I stand  I wonder why I'm on my own Why did it end this way (on my own) This wasn't how it was supposed to be (on my own) I wish that we could do it all again  So many times I know I could have told you Losin' you, it cuts like a knife You walked out and there went my life I don't want to live without you  On my own Once again This wasn't how it was supposed to be (on my own) I wish that we could do it all again (on my own) I never dreamed I'd spend one night alone By myself  I've got to find out what was mine again (on my own) My heart is saying that it's time again (on my own) And I think that I'm as sure as you"
Luther Vandross:Stop to Love,"Lately love Keeps keeping me 'wake at night Tossing and turning, my love Want to kiss Want to hold you so tight Ooh, but I wonder, love Whether you know or not When you just hurry away Leaving me laying there in shock  I just want to be The one that you want to see I just want to have you near me But you fly away almost everyday You work a lot You never stop to love  (Stop) I love you, stop (Stop) Come home from the road Got to stop to love And let's celebrate (Celebrate) The love we got (Stop) Say you're coming home Got to stop to love  Yeah, you say my love Has always been on your mind But how can I ever love you When you keep working overtime Too many empty nights Could make almost any guy roam To look for the love he don't get Whenever he's alone at home  Awaiting the day That you are coming to stay I hate to see you go away But you couldn't rest Had to be the best To reach the top But you did not stop to love  (Stop) I love you, stop (Stop) Come home from the road Got to stop to love And let's celebrate (Celebrate) The love we got (Stop) Say you're coming home (Got to stop to love)  And one day you'll discover I'm the one who loves you (Got to stop to love) And no one does you better Can't you stay forever (Stop to love) I can hardly stand the loneliness (Ooh) Come on, stay (Yeah) 'Cause that's what it's all about You really turn me out  I love you, stop (Stop) Love you, stop (Stop) Come home from the road Got to stop to love And let's celebrate (Celebrate) The love we got (Stop) Say you're coming home (Got to stop to love)  I love you, stop (Stop) I still love you, stop (Stop) Come home from the road Got to stop to love And let's celebrate (Celebrate) All the love we got (Stop) Say you're coming home Got to stop to love  I love you, stop (Stop) I still love you, stop (Stop) Come home from the road (Got to stop to love) And let's celebrate (Celebrate) All the love we got (Stop) Say you're coming home."
Keith Sweat:I Want Her,"Seen you last night, say you standin' there Couldn't picture the color of your hair All I wanted to know were you really there I wanna know was it my imagination Ooh, you know it was a sweet sensation Lookin' at you from a distance Ooh, it seems so real  You and I together Dream that seemed for real If it's a dream, please don't wake me up It feels so real all I know is  I want her (I want that baby) I want her (Get it, get it, get it, get it) I want her (I wanna do it like this, do it like that) I want her (Once I get it ain't no turnin' back)  You turn me on and on The feelin', girl, is so strong My heart, girl, is on fire Ooh, you're my desire  I've got a thing for you Dreams of you and me, baby She's bad, she's bad, she's bad All I know is  I want her (I want, I want, I want, I want, I want her) I want her (Don't misunderstand me) I want her (I wish this dream was for real) I want her (You, you know the deal)  I want her (Yeah, yeah...) I want her (I want that girl so bad) I want her (I had a dream of her last night) I want her (Yeah, yeah, yeah, ugh)  Oh Yep-yep Ooh... ooh... ooh... yeah And I, ugh I Give it to me, give it to me, give it to me, ooh, baby All night long, girl  I want her (Ooh, baby) I want her (I want that girl so bad) I want her (All night long) I want her (Let me, let me tell you somethin', I wanna do it like this, baby)  I want her (I wanna do it like that, sugar) I want her (You know I need, girl, you know what I like, girl, like this, baby) I want her (I wanna do it like that, sugar) I want her (You turn me on and on and on and on)  I want her (I wanna do it like this, baby, I wanna do it like that, sugar) I want her (You know what I mean, girl, you know like, girl) I want her (I wanna do it like this, baby, I wanna do it like that, sugar) I want her (Oh, I want you so bad, girl)  I want her (Oh, I want you so bad, girl, I need you right now, baby) I want her (Give it to me, give it to me all night long, girl) I want her (I just want you so bad) I want her (I just want you so bad, come on, girl, come on, girl)  I want her (She's so bad) I want her (Hey, baby) I want her (Don't let this be a dream, girl) [Just think about tonight, baby] I want her (I want you so bad, ooh, baby)  I want her (Give it to me tonight, girl, love me, love me) I want her (Love me, love me, love me, love me down, ooh, baby) I want her I want her (Hey)  I want her (The feelin', girl, is so, so, so, so, so, so, so, so strong) (I want you so bad, baby) (Was it, was it a dream last night, girl) (Was it, was it a dream last night, baby)"
Karyn White:Superwoman,"Early in the morning I put breakfast at your table And make sure that your coffee has it's sugar and cream Your eggs are over easy, your toast done lightly All that's missing is your morning kiss that used to greet me  Now you say the juice is sour, it used to be so sweet And I can't help but to wonder if you're talking 'bout me We don't talk the way we used to talk, it's hurtin' so deep I've got my pride, I will not cry but it's makin' me weak  I'm not your superwoman I'm not the kind of girl that you can let down and think that everything's okay Boy, I am only human This girl needs more than occasional hugs as a token of love from you to me, ooh baby  I fight my way through the rush hour trying to make it home just for you I want to make sure that your dinner will be waiting for you But when you get there you just tell me you're not hungry at all You said you'd rather read the paper and you don't want to talk  You like to think that I'm just crazy when I say that you've changed I'm convinced I know the problem, you don't love me the same You're just going through the motions and you're not being fair I've got my pride, I will not cry still I can't help but care  I'm not your superwoman, oh no, no I'm not the kind of girl that you can let down and think that everything's okay Boy, I am only human (I'm only human) This girl needs more than occasional hugs as a token of love from you to me  I'm not your superwoman I'm not the kind of girl that you can let down and think that everything's okay (Don't let me down, don't you let me down) Boy, I am only human (I'm only human, yeah) This girl needs more than occasional hugs as a token of love from you to me  Ooh baby, look into the corners of your mind I'll always be there for you through good and bad times But I can't be that superwoman that you want me to be I'll give my everlasting love if you'll return love to me  I'm not your superwoman I'm not the kind of girl that you can let down and think that everything's okay Boy, I am only human (I'm only human) This girl needs more than occasional hugs as a token of love from you to me  If you feel it in your heart and you understand me Stop right where you are, everybody sing along with me  I'm the kind of girl that can treat you so sweet But you've got to realize that you've got to be sweeter to me I need love I need just your love  I'm not your superwoman I'm not the kind of girl that you can let down and think that everything's okay Boy, I am only human (I'm only human) This girl needs more than occasional hugs as a token of love from you to me  I'm not your superwoman"
En Vogue:Hold On,"When I had you I treated you bad Wrong my dear But since, since you went away Don't you know I sit around With my head hanging down And I wonder who's loving you  Ooh, my first mistake was I wanted too much time I had to have him morning, noon, and night If I would of known then The things that I know now I might not have lost the time I complain about  Don't waste your time Fighting blind minded thoughts of despair Hold on to your love You gotta hold on Hold on to your love Ooh, ooh, baby hold on Hold on to your love You gotta hold on Hold on to your love  The art of playing games now Is not the hearts you break It's bound to good love you make When it's heart's on fire Give him love everyday Remember he needs space Be patient and he'll give his heart to you  Trust and honesty too Must be the golden rule You'll feel the strength of passion in your soul Burn so deeply within Ooh, the magic that you share So sacrifice and show how much you care  Ad lib: Keep the ties Hang on tight And don't let go No, no, no, no If you need him Just keep on Just keep on hanging on Little trust, honesty, golden rules Feel the strength of passion in your soul It's burning so deep Have faith Just keep the fire burning at home Hey yeah He'll come home to you He'll be there for you He'll want to have you  Fade"
Rude Boys:Written All Over Your Face,"Its written all over your face You don't have to say a word Just smile a smile a smile A smile for me Its better than any word I ever heard  I know that I'm a very lucky guy To have someone like you I never met a girl in my life like you before You make all my dreams come true  I love the way you carry you You have a lot of class and good taste And you don't have to say how much you care for me Because its written all over your face  Don't you know Its written all over your face You don't have to say a word Just smile a smile a smile A smile for me Its better than any word I ever heard  You don't have to say how much you love me, girl Because you show me every day You kiss me, you miss me, you hold me very tight You love me in every way  I love the way you carry you You gotta lotta class and good taste And you don't have to say how much you care for me Because its written all over, written all over your, your, your face, baby  Its written all over your face You don't have to say a word Just smile a smile a smile A smile for me Its better than any word I ever heard  To the bridge Its written on your face That you really care Its written on your face That you really care  Its written all over your face You don't have to say a word Just smile a smile a smile A smile for me Its better than any word I ever heard"
Jodeci:Come and Talk to Me,"Been watching you baby For a long time You look so good Got my eyes on you I've been watching you For so very long Trying to get my nerve built up to be so strong I really want to meet you But I'm kind of scared 'Cause you're the kind of lady With so much class Get my thoughts together For the very next day But when I see you lady I forget what to say Your eyes and hair Such a beautiful tone The way you dress and walk It really turns me on Ooh you really turn me on Come on come on come on   Come and talk to me I really want to meet you Can I talk to you I really want to know you Come and talk to me I really want to meet you Can I talk to you I really want to know you Oh, oh oh oh oh  There you are again With the same smile each day I wanna know what it is that makes me feel this way I wish I could grab you Tell you what it means to me To see you walking by my way It really makes my day Before I go to sleep and dream about you I'm a single man I hope that you are single too Why do I seek Something to set my mind free 'Cause curiosity is buggin' the hell outta me Talk to me, talk to me, talk to me, baby  Come and talk to me I really want to meet you Can I talk to you I really want to know you Come and talk to me I really want to meet you Can I talk to you I really want to know you  I wanna know, you wanna tell me your name Let me play your game I wanna know, you wanna tell me your name Let me play your game  Come and talk to me I really want to meet you Can I talk to you I really want to know you Come and talk to me I really want to meet you Can I talk to you I really want to know you"
Whitney Houston:I Will Always Love You,"If I should stay I would only be in your way So I'll go, but I know I'll think of you every step of the way  And I will always love you I will always love you You, my darling you, mmm  Bittersweet memories That is all I'm taking with me So goodbye, please don't cry We both know I'm not what you, you need  And I will always love you I will always love you, yeah, yeah  I hope life treats you kind And I hope you have all you've dreamed of And I wish you joy and happiness But above all this, I wish you love  And I will always love you I will always love you I will always love you I will always love you I will always love you I, I will always love you Darling, I love you I'll always, I'll always love you"
R. Kelly:Bump n' Grind,"My mind's telling me no But my body, my body's telling me yes Baby, I don't want to hurt nobody But there is something that I must confess to you  I don't see nothing wrong with a little bump n' grind I don't see nothing wrong, ba-baby I don't see nothing wrong with a little bump n' grind I don't see nothing wrong, hey  Lookee here, see I know just what you want And I know just what you need, girl So baby bring your body to me, bring your body here I'm not fooling around with you Baby, my love is true With you is where I wanna be  Girl you need someone, someone like me, yeah To satisfy your every need  I don't see nothing wrong with a little bump n' grind I don't see nothing wrong, baby baby, I do't see I don't see nothing wrong with a little bump n' grind I don't see nothing wrong, bump n' grind, baby hey  You say he's not treating you right Lady, spend the night I'll love you like you need to be loved Girl, want you try some of me  No need to look no more Because I opened up my doors You'll never, you'll never want another lover Baby, you'll never find another me  You see you need someone, someone like me, baby To make love to you baby constantly  I don't see nothing wrong with a little bump n' grind I don't see nothing wrong, grind oh I don't see nothing wrong with a little bump n' grind I don't see nothing wrong, baby baby alright  I don't see nothing wrong with a little bump n' grind I don't see nothing wrong, I don't see, I don't see nothin' wrong I don't see nothing wrong with a little bump n' grind I don't see nothing wrong, nothin' wrong, nothin' wrong, nothin' wrong I don't see nothing wrong with a little bump n' grind I don't see nothing wrong, come on, come on"
TLC:Creep,"Yes, it's me again And I'm back  (Creep) Oh I, oh I, oh I baby (Creep) Oh I, oh I, oh I yeah (Creep) Oh I, oh I, oh I baby (Creep) Oh I, oh I, oh I yeah  The 22nd of loneliness And we've been through so many things I love my man with all honesty But I know he's cheatin' on me  I look him in his eyes But all he tells me is lies to keep me near I'll never leave him down Though I might mess around It's only 'cause I need some affection, oh  So I creep, yeah I just keep it on the down low Said nobody is supposed to know So I creep, yeah 'Cause he doesn't know what I do And no attention goes to show Oh, so I creep  The 23rd of lonliness And we don't talk like we use to do Now it seems pretty strange But I'm not buggin' 'Cause I still feel the same yeah, yeah  I'll keep giving loving till the day he pushes me away Never go astray If he knew the things I did He couldn't handle it And I choose to keep him protected, oh  So I creep, yeah I just keep it on the down low Said nobody is supposed to know So I creep, yeah 'Cause he doesn't know what I do And no attention goes to show Oh, so I creep  (So I creep, yeah) (I just keep it on the down low) (Said nobody is supposed to know) I think about us baby all the time But you know that I'm gonna need some attention Yeah, yeah can you dig it?  (So I creep, yeah) ('Cause he doesn't know what I do) (And no attention goes to show) Love you forever baby soul and mind And you gotta know it You don't give it I'mma get mine  (So I creep, yeah) Oh I, oh I, oh I baby (So I creep, yeah) Oh I, oh I, oh I yeah (So I creep, yeah) Oh I, oh I, oh I baby Oh I, oh I, oh I yeah Yeah, yeah, yeah  So I creep yeah I Just keep it on the down low Said nobody is supposed to know So I creep yeah 'Cause he doesn't know what I do And no attention  Goes to show oh so I creep  So I creep yeah I Just keep it on the down low I creep around because I need attention So I creep yeah 'Cause he doesn't know what I do Don't mess around with my affection  So I creep yeah I Just keep it on the down low Oh I, oh I, oh I yeah So I creep yeah 'Cause he doesn't know what I do Oh I, oh I, oh I yeah  So I creep yeah I Just keep it on the down low Said nobody is supposed to know So I creep yeah 'Cause he doesn't know what I do"
Toni Braxton:You're Makin' Me High,"I'll always think of you Inside of my private thoughts Can imagine you Touching my private parts  And just the thought of you Can't help touch myself That's why I want you so bad Just one night of  (Moonlight) with you there beside me All night, doin' it again and again You know I want you so bad Baby, baby, baby (baby, baby, baby, baby)                              oooh      oohooh  Ooh I get so high When I'm around you baby I can touch the sky You make my temperature rise, ooh baby You're makin' me high (high)   Baby, baby, baby, baby (ooh      ooh)  Can't get my mind off you I think I might be obsessed The very thought of you Makes me want to get undressed  I wanna be with you In spite of what my heart says I guess I want you too bad All I want is  (Moonlight)            ooh,ooh with you there beside me (All night)       ooh baby,  doin' it again, and then again, and then again, and then again You know I want you so bad Baby, baby, baby (baby, baby, baby, baby)                                ooh-yeah  Oooh I get so high When I'm around you baby I can touch the sky You make my temperature rise, ooh boy You're makin' me high (high) Ooh, baby, baby, baby, baby  I want to feel your heart and soul inside of me Let's make a deal you roll, I lick And we can go flying into ecstasy Oh darlin' you and me Light my fire, blow my flame Take me, take me, take me away  (Aah yeah ooh ooh Yeah aah ooh yeah yeah ooh aah)  Ooh, but all I really wan't is  (Moonlight) ooh, with you there inside me (All night) ooh doin it again and then again and then again and then again Ooh Baby I want you so bad Baby, baby, baby baby (baby, baby, baby, baby)                                      whoah  Oooh I get so high     (ooh)       (oh, yeah,yes) When I'm around you baby I can touch the sky  (I)                (touch the sky) You make my temperature rise,                            (rise) You're makin me high          (baby making me high) (Baby, baby, baby, baby)  Oooh I get so high"
Dru Hill:In My Bed,"No, no, no No this can't be true  I got this feeling, and I just can't turn it loose That somebody's been getting next to you I don't want to walk around knowin' I was your fool 'Cause being the man that I am, I just can't lose my cool  My friends keep telling me about the things that's going on babe But deep in my heart baby I hope that I'm wrong Yes I hope I'm wrong but I know it babe  Somebody's sleeping in my bed, my bed baby Somebody's takin' my place (baby) Somebody's sleeping in my bed baby And you know just what I mean, oh oh oh oh oh!  I come home early expecting your warm embrace But something is wrong 'cause its written all over your face It hurt so bad when I walk through the door But 'cha know one damn thing baby, I ain't coming back no more No no no   Now don't try to tell me things are still the same 'Cause when we made love I heard you call out his name Call out his name  Somebody's sleeping in my bed tonight baby Somebody's taking Sisqo's place Somebody's sleeping in my bed baby Somebody's taking my place, yeah  Girl I want you to know I gave you money and every li'l thing that you need I gave you the world (yes I did) 'cause you were my girl (oh yes I did) But you still ran out on me oh yeah  Said you're sleeping in my bed Messin' with my head ooh Tell me why, oh why oh why Why oh why oh why Why oh why oh why oh why oh why said you're Sleeping in my bed Messin' with my head Somebody's takin' my place Oh yeah  Now if you truly love me (all right) Then this would not be happenin' Sleepin' in my bed, messin' with my head Oh no no no no, gotta let you go  Yes I do, baby babe Why'd you do it Why'd you do it I don't wanna be a fool no more"
Next:Too Close,"I wonder if she could tell that I'm hard right know Hmm, yeah come on Dance with me now, haha Oh, oh feel that, all right come on Don't stop know, you done did it Come on alright Oh well   Baby, when we're grinding I get so excited Ooh, you know I like it I try but I can't fight it Oh, you're dancing real close  Swaying real slow You're making it hard for me  All the songs on you requested You're dancing like you're naked Ooh, it's almost like we're sexing (oh yeah) Yeah boo I like it No I can't deny it But I know you can tell I'm excited Oh girl  Step back you're dancing kind of close I feel a little poke coming through on you Now girl I know you felt it But boo, you know I can't help it You know what I wanna do  Baby, when we're grinding I get so excited Ooh, you know I like it I try but I can't fight it Oh, you're dancing real close  Swaying real slow You're making it hard for me  Baby, us dancing so close Ain't a good idea 'Cause I'ma want you now and here The way that you shake it on me Makes me want you so bad sexually, oh girl  Step back you're dancing kind of close I feel a little poke coming through on you Now girl I know you felt it But boo, you know I can't help it You know what I wanna do  Baby, when we're grinding I get so excited (oo-wee) Ooh, you know I like it I try but I can't fight it (baby, it feels so right) Oh, you're dancing real close  Swaying real slow You're making it hard for me (baby, it don't stop)  Baby, when we're grinding I get so excited Ooh, you know I like it I try but I can't fight it Oh, you're dancing real close  Swaying real slow (mm, yeah) You're making it hard for me  I love when you shake it like that, ah, ah, ah I see that you like it like that, oh, oh, oh I love when you shake it like that, ah, ah, ah I see that you like it like that, oh, oh, oh  Baby, when we're grinding I get so excited (on me) Ooh, you know I like it (oh yeah)"""" I try but I can't fight it Oh, you're dancing real close  Swaying real slow  You're making it hard for me  Baby, when we're grinding I get so excited Ooh, you know I like it (you're makin' me want you) I try but I can't fight it Oh, you're dancing real close  Swaying real slow (I like those things you do) You're making it hard for me  Baby, when we're grinding I get so excited Ooh, you know I like it I try but I can't fight it Oh, you're dancing real close  Swaying real slow You're making it hard for me"
Maxwell:Fortunate,"Never seen a sun shine like this Never seen the moon glow like this Never seen the waterfalls like this Never seen the lights off like this Never dug anyone like this Never had tasty lips to kiss Never had someone to miss Never wrote a song quite like this  Fortunate to have you girl,  I'm so glad you're in my world, Just as sure as the sky is blue, I bless the day that I found you.  Never had room service all night Never took a trip first class flight Never had a love affair so tight I've never felt a feeling so right Never seen a winter so white Never had words to recite Never had a flame to ignite And I never sang a song with all my might.  Fortunate to have you girl,  I'm so glad you're in my world, Just as sure as the sky is blue, I bless the day that I found you.  Fortunate to have you girl,  I'm so glad you're in my world, Just as sure as the sky is blue, I bless the day that I found you.  Silence child hope you hear I'm callin out to your body Baby you know just what to do Close the door no interlude  Fortunate to have you girl,  I'm so glad you're in my world, Just as sure as the sky is blue, I bless the day that I found you.  Fortunate to have you girl,  I'm so glad you're in my world, Just as sure as the sky is blue, I bless the day that I found you."
Jagged Edge:Let's Get Married,"See first of all, I know these so called players wouldn't tell you this But, Ima be real and say what's on my heart Lets take this chance to make this love feel relevant Didn't you know I loved you from the start yeah eah eah yeah  Then I think about, all the years we put in this relationship Who knew we'd make it this faar Then I think about, where would I be if we were to just fall apart And I can't stand the thought of losing youu. uh oh  Meet me at the alter in your white dress We ain't get no younger we might as well do Been feelin' you all the while girl I must confess Girl let's just get married I just want to get married  Meet me at the alter in your white dress We ain't gettin' no younger (so) we might as well do it Been feelin' you all the while girl and I must confess Let's get married  Said I done it all, but frankly girl I'm tired of this emptiness I wanna come home to you and only you Cause making love to just anyone ain't happinin' I just gotta be with you.ooh osh Did you think about, us finishing something we started so long ago I wanna give you my aauhall (all) Did you think about maybe us havin' some babies Come on wont you be my lady Forever girllllllllllll  I'm ready to, commit to you And I just can't wait for that night 'Cause I need you here with me and lets start a family"
