,0
Elvis Presley:Jailhouse Rock,"The warden threw a party in the county jail The prison band was there and they began to wail The band was jumpin' and the joint began to swing You should've heard those knocked out jailbirds sing  Let's rock, everybody, let's rock Everybody in the whole cell block Was dancing to the jailhouse rock  Spider Murphy played the tenor saxophone Little Joe was blowin' on the slide trombone The drummer boy from Illinois went crash, boom, bang The whole rhythm section was the Purple Gang  Let's rock, everybody, let's rock Everybody in the whole cell block Was dancing to the jailhouse rock  Number forty-seven said to number three ""You're the cutest jailbird I ever did see I sure would be delighted with your company Come on and do the jailhouse rock with me""  Let's rock, everybody, let's rock Everybody in the whole cell block Was dancing to the jailhouse rock Rock, rock, r...  Sad Sack was a sittin' on a block of stone Way over in the corner weepin' all alone The warden said, ""Hey, buddy, don't you be no square If you can't find a partner use a wooden chair""  Let's rock, everybody, let's rock Everybody in the whole cell block Was dancing to the jailhouse rock  Shifty Henry said to Bugs, ""For heaven's sake No one's looking, now's our chance to make a break"" Bugsy turned to Shifty and he said, ""Nix nix I wanna stick around a while and get my kicks""  Let's rock, everybody, let's rock Everybody in the whole cell block Was dancing to the jailhouse rock  Dancing to the jailhouse rock Dancing to the jailhouse rock Dancing to the jailhouse rock Dancing to the jailhouse rock"
Chuck Willis:What Am I Loving For,"What am I living for, if not for you? What am I living for, if not for you? What am I living for, if not for you? Oh, nobody else, nobody else will do.  What am longing for, each lonely night? To feel your lips to mine and hold you tight. You'll be my little girl my whole life through. Baby, nobody else, nobody else will do.  I want you close to me, that's all I know. I want you all the time, cause darling I love you so.  What am I living for, if not for you? What am I living for, if not for you? What am I living for, if not for you? Oh, nobody else, nobody else will do. Oh, nobody else, nobody else will do. Baby, nobody else, nobody else will do."
Lloyd Price:Stagger Lee,"The night was clear And the moon was yellow And the leaves came tumbling down  I was standing on the corner When I heard my bulldog bark He was barking at the two men Who were gambling in the dark  It was Stagger Lee and Billy Two men who gambled late Stagger Lee threw seven Billy swore that he threw eight  Stagger Lee told Billy ""I can't let you go with that You have won all my money And my brand new Stetson hat""  Stagger Lee started off Goin down that railroad track He said, I cant get you Billy But don't be here when I come back  Go on, Stagger Lee  Stagger Lee went home And he got his .44 Said, ""I'm going to the bar room Just to pay that debt I owe""  Stagger Lee went to the bar room And he stood across the bar room door Said, ""Now nobody move"" And he pulled his .44  ""Stagger Lee,"" cried Billy ""Oh, please don't take my life I got three little children And a very sickly wife""  Stagger Lee shot Billy Oh he shot that poor boy so bad Till the bullet came through Billy And it broke the bartender's glass  Now look out, Stagg, come on"
Brook Benton:Kiddio,"I told you, baby, how I feel One word can close this deal Baby, be my queen of hearts Please gimme that love you've got A-won'tcha say yes?, don'tcha say no Make me feel good, kiddio  Maybe I'm just wastin' time Can't get you off my mind You could make me feel so good I know you could if you only would A-won'tcha say yes?, don'tcha say no Make me feel good, kiddio  I wrote you a six-page letter I called you on the phone But you started talkin' 'bout the weather Kiddio, don'tcha know that's wrong?  I can't stand this playin' 'round Help me up, don't let me down Kiss me baby, tell me so If you love me, let me know A-won'tcha say yes? don'tcha say no Make me feel good, kiddio  I wrote you a six-page letter I even called you on the phone But you started talkin' 'bout the weather Kiddio, don'tcha know that's wrong?  I can't stand this playin' 'round Help me up, don't let me down A-kiss me baby, tell me so If you love me, let me know A-won'tcha say yes?, don'tcha say no Make me feel good, kiddio  Make me feel so-uh-oh oh good, so, so good, kiddio"
Bobby Lewis:Tossin' and Turnin',"I couldn't sleep at all last night Just a-thinkin' of you Baby, things weren't right  Well I was tossin' and turnin' Turnin' and tossin'  Tossin' and turnin' all night  I kicked the blankets on the floor Turned my pillow upside down I never, never did before  'Cause I was tossin' and turnin' Turnin' and tossin'  Tossin' and turnin' all night  Jumped out of bed Turned on the light I pulled down the shade Went to the kitchen for a bite  Rolled up the shade Turned out the light I jumped back into bed It was the middle of the night  The clock downstairs was strikin' four Couldn't get you of my mind I heard the milkman at the door  'Cause I was tossin' and turnin' Turnin' and tossin'  Tossin' and turnin' all night  Jumped outta bed Turned on the light I pulled down the shade Went to the kitchen for a bite  Rolled up the shade Turned off the light I jumped back into bed It was the middle of the night  The clock downstairs was strikin' four Couldn't get you of my mind  I heard the milkman at the door  'Cause I was tossin' and turnin' Turnin' and tossin'  Tossin' and turnin' all night  I was tossin' and turnin'  Turnin' and Tossin'  A tossin' and turnin' all day  I was tossin' and turnin'  Turnin' and tossin'  I was tossin' and turnin' all night"
King Curtis:Soul Twist,"Oh western union man Send a telegram to my baby Send a telegram, send a telegram Who, send a telegram to my baby This is what I want you to do I want you to tell her that I'm all alone I tried to call her on the phone Tell her I'm in misery And think she's avoiding me And if the telegram don't do Send a box of candy too And maybe some flowers Tell her that I missed her for hours and hours Send a telegram, send a telegram Send a telegram man To my baby you hear what I say Oh western union man send a telegram Send a telegram to my baby Oh western union man Hey send a telegram Send a telegram, send a telegram Oh send a telegram to my baby This is what I want you to do Listen, tell me have you got a boy you can send This is what I want him to do Put him on his bike right away See if he can get my message through Maybe tomorrow But mail it right away I want the girl to know that I miss her Something like yesterday Send a telegram, send a telegram man To my baby Do you hear what I say Oh western union man why don't you send a telegram Oh send a telegram to my baby Western union man send a telegram Oh send it right on to my baby Hey western union man Send a telegram, send a telegram"
Little Johnny Taylor:Part Time Love,"I'm gonna find me, lord I've got to find me a part time love I've got to find me, I've got to find me a part time love The next time, the next time my baby leaves me  There's one other thing I want to tell you right here: People in the cemetery, them are all alone Some turn to dust, and some have bone I'd rather be dead, six feet in my grave Than to live lonely, each and every day She came home this morning, I asked her where had she been? She said don't ask me no question daddy, because I'll be leaving again  That's why, that's why I've got to find me, Lord I've go to find me a part time love The next time, the next time, the next time my baby leave me, Can't you see I got to have me a part time love  And one more thing I want to say right here: Every, every time my baby leaves me I have to suffer the whole time she's gone Every, every time my baby leaves me I have to suffer the whole time she's gone But oh, the next time my baby leaves me Peoples can't you see I just got to have me a part time love Whoa, whoa, I'm talking about a love, One gonna stick by me when I get old I'm talking about the kind of love That's gonna wash my dirty clothes Whoa, I'm talking about love, yeah, yeah, I'm talking about love..."
Mary Wells:My Guy,"Nothing you can say can tear me away From my guy Nothing you could do, 'cause I'm stuck like glue To my guy  I'm sticking to my guy like a stamp to a letter Like birds of a feather we stick together I'm tellin' you from the start I can't be torn apart from my guy  Nothing you could do could make me be untrue To my guy  (my guy) Nothing you could buy could make me tell a lie To my guy (my guy)  I gave my guy my word of honor To be faithful and I'm gonna You'd best be believing I won't be deceiving my guy  As a matter of opinion, I think he's tops My opinion is he's the cream of the crop As a matter of taste to be exact He's my ideal as a matter of fact  No muscle bound man could take my hand From my guy (my guy) No handsome face could ever take the place Of my guy (my guy)  He may not be a movie star But when it comes to being happy, we are There's not a man today who can take me away From my guy  No muscle bound man could take my hand From my guy  (my guy) No handsome face c Could ever take the place Of my guy (my guy)  He may not be a movie star But when it comes to being happy, we are There's not a man today who can take me away From my guy (what'cha say?)  There's not a man today who could take me away From my guy (Tell me more!) There's not a man today who could take me away From my guy"
Four Tops:I Can't Help Myself (Sugar Pie Honey Bunch),"Ooh, sugar pie, honey bunch You know that I love you I can't help myself I love you and nobody else  In and out my life (In and out my life) You come and you go (You come and you go) Leaving just your picture behind (Ooh) And I've kissed it a thousand times (Ooh)  When you snap your finger or wink your eye I come a-running to you I'm tied to your apron strings And there's nothing that I can do, ooh  I can't help myself No, I can't help myself  'Cause sugar pie, honey bunch (Sugar pie, honey bunch) I'm weaker than a man should be I can't help myself I'm a fool in love, you see  Wanna tell you I don't love you Tell you that we're through and I try But every time I see your face (Can't help myself) I get all choked up inside  When I call your name Girl, it starts to flame (Burning in my heart, tearing it all apart) No matter how I try My love I cannot hide  'Cause sugar pie, honey bunch (Sugar pie, honey bunch) You know that I'm waiting for you (Waiting for you) I can't help myself I love you and nobody else, ooh  Sugar pie, honey bunch (Sugar pie, honey bunch) I'd do anything you ask me to (Ask me to) I can't help myself I want you and nobody else, ooh  Sugar pie, honey bunch (Sugar pie, honey bunch) You know that I love you (Love you) I can't help myself No, I can't help myself, ooh  Sugar pie, honey bunch (Sugar pie, honey bunch) You know that I love you"
Sam and Dave:Hold On! I'm Comin',"Now don't you ever be sad Lean on me when times are bad When the day comes and you're down In a river of trouble, about to drown  Hold on, I'm comin' Hold on, I'm comin'  On my way, your lover And if it feels cold, I will be your cover Never have to worry 'cause I'm here Ah, don't need to suffer, baby, 'cause I'm near (no need)  Hold on 'cause I'm comin' Hold on, I'm comin' Hold on 'cause I'm comin' Hold on, I'm comin', look  Reach out to me for satisfaction, yeah Look, call my name now for quick reaction Yeah, yeah, yeah, yeah  Huh Now don't you ever be sad Lean on me when times get bad When the day comes, I know you're down In a river of trouble, you about to drown  So hold on, I'm comin' Hold on, I'm comin' Hold on 'cause I'm comin' Hold on 'cause I'm comin'  Hold on 'cause I'm comin' I want you to hold on 'cause I'm comin', yeah"
